origin,method,horizon,target,forecast,actual,train_n,mase_scale,n_predictors,predictors,error,scaled
2016-12,ordinary least squares,12,2017-12,-0.15756142909438578,-0.4928311284175383,96,0.30834998025112953,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.33526969932315254,1.0873024835289393
2016-12,ridge,12,2017-12,-0.27230098217108856,-0.4928311284175383,96,0.30834998025112953,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.22053014624644973,0.7151942934027216
2016-12,random forest,12,2017-12,-0.21533124797897385,-0.4928311284175383,96,0.30834998025112953,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.27749988043856444,0.8999510238741062
2016-12,gradient boosting,12,2017-12,-0.23885381637080716,-0.4928311284175383,96,0.30834998025112953,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.25397731204673113,0.8236657315167796
2017-01,ordinary least squares,1,2017-02,-0.19134494473445343,-0.0086235809712641,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.18272136376318934,0.5995852600989053
2017-01,ridge,1,2017-02,-0.1958681452994224,-0.0086235809712641,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.1872445643281583,0.614427774030343
2017-01,random forest,1,2017-02,-0.11375828567908902,-0.0086235809712641,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.10513470470782492,0.3449909631221905
2017-01,gradient boosting,1,2017-02,-0.11790510141357063,-0.0086235809712641,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.10928152044230653,0.35859840091454287
2017-01,ordinary least squares,3,2017-04,-0.5714580699104923,-0.2928531806112268,97,0.3047462569927892,4,"sin_year, cos_year, year_fraction, flux_lag12",0.2786048892992655,0.9142192329071257
2017-01,ridge,3,2017-04,-0.5699564833535722,-0.2928531806112268,97,0.3047462569927892,4,"sin_year, cos_year, year_fraction, flux_lag12",0.2771033027423454,0.9092918990270064
2017-01,random forest,3,2017-04,-0.6714061026741058,-0.2928531806112268,97,0.3047462569927892,4,"sin_year, cos_year, year_fraction, flux_lag12",0.37855292206287905,1.2421905548517902
2017-01,gradient boosting,3,2017-04,-0.6537277285483226,-0.2928531806112268,97,0.3047462569927892,4,"sin_year, cos_year, year_fraction, flux_lag12",0.36087454793709584,1.1841804112646894
2017-01,ordinary least squares,6,2017-07,-1.8221429825184468,-1.3716236910436208,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.45051929147482594,1.4783423295187053
2017-01,ridge,6,2017-07,-1.8227780294557163,-1.3716236910436208,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.4511543384120955,1.4804261842755646
2017-01,random forest,6,2017-07,-1.812917960474894,-1.3716236910436208,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.44129426943127315,1.4480711716886319
2017-01,gradient boosting,6,2017-07,-1.7712436305122197,-1.3716236910436208,97,0.3047462569927892,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.39961993946859886,1.311320255126397
2017-01,ordinary least squares,12,2018-01,-0.34992791423911795,-0.3350201368019978,97,0.3047462569927892,6,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12",0.014907777437120129,0.04891865640690338
2017-01,ridge,12,2018-01,-0.3235520399812154,-0.3350201368019978,97,0.3047462569927892,6,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12",-0.011468096820782425,0.03763162486046147
2017-01,random forest,12,2018-01,-0.23959413580862504,-0.3350201368019978,97,0.3047462569927892,6,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12",-0.09542600099337278,0.3131326433178496
2017-01,gradient boosting,12,2018-01,-0.2250454585651869,-0.3350201368019978,97,0.3047462569927892,6,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12",-0.10997467823681092,0.3608729417123345
2017-02,ordinary least squares,1,2017-03,-0.22438940412265213,-0.2953060899263378,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.07091668580368565,0.23511958836058827
2017-02,ridge,1,2017-03,-0.23762776453703918,-0.2953060899263378,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.057678325389298596,0.19122867868361598
2017-02,random forest,1,2017-03,-0.2579294196734185,-0.2953060899263378,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.0373766702529193,0.12391988182418848
2017-02,gradient boosting,1,2017-03,-0.25454643890528744,-0.2953060899263378,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",-0.040759651021050336,0.13513593114488892
2017-02,ordinary least squares,3,2017-05,-0.8294878846546,-0.8691640653484248,98,0.30161964087366955,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.039676180693824836,0.13154375682863045
2017-02,ridge,3,2017-05,-0.8239490980878098,-0.8691640653484248,98,0.30161964087366955,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.045214967260615024,0.149907237902829
2017-02,random forest,3,2017-05,-0.8165596568410615,-0.8691640653484248,98,0.30161964087366955,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.052604408507363365,0.17440644234901204
2017-02,gradient boosting,3,2017-05,-0.8036795884074496,-0.8691640653484248,98,0.30161964087366955,4,"sin_year, cos_year, year_fraction, flux_lag12",-0.06548447694097526,0.2171094586257491
2017-02,ordinary least squares,6,2017-08,-1.2894242148919526,-1.283633113388049,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.005791101503903606,0.019200014585022178
2017-02,ridge,6,2017-08,-1.3325975749392684,-1.283633113388049,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.048964461551219474,0.16233843860230496
2017-02,random forest,6,2017-08,-1.444110916685962,-1.283633113388049,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.16047780329791306,0.5320535586909196
2017-02,gradient boosting,6,2017-08,-1.4102401846779677,-1.283633113388049,98,0.30161964087366955,5,"sin_year, cos_year, year_fraction, flux_lag12, atm_temp_f_lag6",0.12660707128991877,0.41975738358148534
2017-02,ordinary least squares,12,2018-02,-0.20448177486467864,-0.4316211846913061,98,0.30161964087366955,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.22713940982662748,0.7530657127257923
2017-02,ridge,12,2018-02,-0.24912268842978244,-0.4316211846913061,98,0.30161964087366955,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.18249849626152367,0.605061711939248
2017-02,random forest,12,2018-02,-0.14591813101489062,-0.4316211846913061,98,0.30161964087366955,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.28570305367641546,0.947229606297686
2017-02,gradient boosting,12,2018-02,-0.17059089518495735,-0.4316211846913061,98,0.30161964087366955,7,"sin_year, cos_year, year_fraction, flux_lag12, flux_lag13, soil_temp_f_lag12, wte_m_lag12",-0.26103028950634877,0.8654286861102615
2017-03,ordinary least squares,1,2017-04,-0.563266952874784,-0.2928531806112268,99,0.29874944247453245,5,"sin_year, cos_year, year_fraction, flux_lag1, flux_lag12",0.27041377226355723,0.9051523913274223
