date,fch4_mean,fch4_n,fch4_sd,fch4_se,frac_site_aggregated,frac_tga100a,frac_li7700,n_analyzers,is_mixed
2017-03-13,5.873608695652173,23,7.613324376853627,1.587487871466078,0.0,0.30434782608695654,0.6956521739130435,2,True
2017-03-14,4.858875,8,6.86980516333199,2.428842908211204,0.0,0.0,1.0,1,False
2017-03-15,6.388625,8,8.497739816100683,3.004404724361859,0.0,0.125,0.875,2,True
2017-03-18,9.0495,18,9.121753457919088,2.150017908802142,0.0,0.1111111111111111,0.8888888888888888,2,True
2017-03-20,10.7685,42,21.940033355078366,3.385420644968627,0.0,0.2857142857142857,0.7142857142857143,2,True
2017-03-21,10.133,37,30.16595335068255,4.959252181952861,0.0,0.24324324324324326,0.7567567567567568,2,True
2017-03-24,8.766037037037037,27,7.795702941026509,1.500283730508004,0.0,0.48148148148148145,0.5185185185185185,2,True
2017-03-26,17.444857142857142,21,11.958897182791203,2.6096453127778494,0.0,0.5714285714285714,0.42857142857142855,2,True
2017-03-28,44.4387,20,42.153863743871,9.425890484555934,0.0,0.9,0.1,2,True
2017-03-30,43.27829411764706,17,36.92661052642915,8.956018564500727,0.0,0.7647058823529411,0.23529411764705882,2,True
2017-03-31,31.777350000000002,20,13.065130797882944,2.9214520598992326,0.0,0.85,0.15,2,True
2017-04-01,29.692,17,10.360100180500186,2.512693372716639,0.0,0.8235294117647058,0.17647058823529413,2,True
2017-04-03,40.25107692307692,26,21.03957252783065,4.126199649117661,0.0,0.6923076923076923,0.3076923076923077,2,True
2017-04-04,34.91576190476191,42,11.83531183512335,1.8262282640055265,0.0,0.8809523809523809,0.11904761904761904,2,True
2017-04-05,30.789702702702705,37,23.447889904903864,3.854809354813706,0.0,0.7297297297297297,0.2702702702702703,2,True
2017-04-06,27.18456666666667,30,19.74095954360625,3.6041896162766776,0.0,0.8666666666666667,0.13333333333333333,2,True
2017-04-09,43.76409677419355,31,34.87643976894702,6.263993498320354,0.0,0.7096774193548387,0.2903225806451613,2,True
2017-04-10,63.67375,32,51.59643238979647,9.121046806964575,0.0,0.53125,0.46875,2,True
2017-04-11,33.18354545454545,11,9.4307818802434,2.8434877251317974,0.0,0.6363636363636364,0.36363636363636365,2,True
2017-04-12,33.1321,10,9.431943259771845,2.9826423462352225,0.0,0.9,0.1,2,True
2017-04-15,35.65839285714286,28,8.480963298445332,1.6027514118537436,0.0,0.9285714285714286,0.07142857142857142,2,True
2017-04-16,35.06622222222222,27,24.13718413621691,4.6452032528414655,0.0,0.5925925925925926,0.4074074074074074,2,True
2017-04-17,33.7954347826087,23,7.76077917729497,1.6182343227800076,0.0,0.6956521739130435,0.30434782608695654,2,True
2017-04-18,33.8697,20,8.069693707746415,1.8044383688123304,0.0,0.95,0.05,2,True
2017-04-19,35.20495454545455,22,11.114702482907486,2.369662531435358,0.0,0.6363636363636364,0.36363636363636365,2,True
2017-04-21,38.703,16,18.11317904731248,4.52829476182812,0.0,0.9375,0.0625,2,True
2017-04-22,39.272269230769226,26,11.582343744018967,2.2714844909189242,0.0,0.8076923076923077,0.19230769230769232,2,True
2017-04-23,29.648500000000002,22,13.062459214791648,2.784925661959524,0.0,0.6363636363636364,0.36363636363636365,2,True
2017-04-24,37.54475,24,13.99905927972988,2.8575460095260006,0.0,0.4583333333333333,0.5416666666666666,2,True
2017-04-25,52.34642105263158,19,42.929883129115694,9.848790643043525,0.0,1.0,0.0,1,False
2017-04-26,34.930125,8,17.765302960204682,6.2809830964970885,0.0,1.0,0.0,1,False
2017-04-27,28.287944444444445,18,9.391325894438738,2.2135567414301502,0.0,1.0,0.0,1,False
2017-04-28,43.56366666666666,9,21.191335316586354,7.063778438862118,0.0,1.0,0.0,1,False
2017-04-29,37.67855555555556,9,11.06064533731092,3.68688177910364,0.0,1.0,0.0,1,False
2017-04-30,49.88285714285714,14,54.727975939546326,14.626666816956432,0.0,0.8571428571428571,0.14285714285714285,2,True
2017-05-01,33.25518181818182,11,7.272777183692372,2.1928248274695683,0.0,1.0,0.0,1,False
2017-05-02,33.9263125,32,14.314490809141622,2.5304683800941374,0.0,0.96875,0.03125,2,True
2017-05-03,33.17933333333334,9,7.298720915338521,2.432906971779507,0.0,0.8888888888888888,0.1111111111111111,2,True
2017-05-04,28.157941176470587,17,6.824120020839575,1.65509221457728,0.0,0.9411764705882353,0.058823529411764705,2,True
2017-05-05,56.79723529411765,17,50.4777008224045,12.242640719358894,0.0,0.7647058823529411,0.23529411764705882,2,True
2017-05-06,37.727583333333335,24,12.08172466063361,2.4661717192793837,0.0,0.16666666666666666,0.8333333333333334,2,True
2017-05-07,42.02984210526316,19,19.06079141199184,4.3728454499358085,0.0,0.0,1.0,1,False
2017-05-16,39.929,9,6.782933767920781,2.26097792264026,0.0,1.0,0.0,1,False
2017-05-19,44.1451,10,29.184207272084674,9.228856668623692,0.0,0.8,0.2,2,True
2017-05-20,48.647470588235294,17,16.431977354071112,3.985339898152506,0.0,0.6470588235294118,0.35294117647058826,2,True
2017-05-21,43.39407142857143,14,8.634385599845146,2.307636618565367,0.0,0.9285714285714286,0.07142857142857142,2,True
2017-05-22,43.329375,32,14.560524478213173,2.5739613990443124,0.0,1.0,0.0,1,False
2017-05-23,34.904199999999996,30,23.78805266978972,4.343084348788273,0.0,0.9333333333333333,0.06666666666666667,2,True
2017-05-26,71.97066666666666,15,82.45161257165724,21.28891482386497,0.0,1.0,0.0,1,False
2017-05-27,40.1545,8,6.3492876765823105,2.244812185907765,0.0,1.0,0.0,1,False
2017-05-28,46.155366666666666,30,12.174291869184504,2.2227114261346954,0.0,1.0,0.0,1,False
2017-05-29,54.08511428571429,35,35.502950984034975,6.001094015915027,0.0,1.0,0.0,1,False
2017-05-30,52.73428571428571,28,25.68267111823059,4.853568627335663,0.0,1.0,0.0,1,False
2017-05-31,58.562439999999995,25,28.259341424680553,5.651868284936111,0.0,1.0,0.0,1,False
2017-06-01,50.87169230769231,13,12.664962135649516,3.512628490914942,0.0,1.0,0.0,1,False
2017-06-02,26.957444444444445,9,89.86588193401197,29.95529397800399,0.0,0.3333333333333333,0.6666666666666666,2,True
2017-06-03,64.8035625,16,7.161447302221809,1.7903618255554523,0.0,0.0,1.0,1,False
2017-06-04,59.732000000000006,14,10.947383424643254,2.9258112897616457,0.0,0.0,1.0,1,False
2017-06-05,64.00833333333334,9,8.549605502594842,2.849868500864947,0.0,0.0,1.0,1,False
2017-06-06,66.2782,10,16.57199338106983,5.240524445341537,0.0,0.0,1.0,1,False
2017-06-08,79.00666666666667,24,31.49319407726701,6.428521321645457,0.0,0.7083333333333334,0.2916666666666667,2,True
2017-06-15,56.184272727272734,11,16.511865788522563,4.978514855385013,0.0,1.0,0.0,1,False
2017-06-16,66.2825925925926,27,13.112351916768167,2.5234733029517353,0.0,0.9629629629629629,0.037037037037037035,2,True
2017-06-17,70.67785,20,31.1174861491007,6.958081431829732,0.0,0.9,0.1,2,True
2017-06-18,65.07183333333333,48,10.648337603415479,1.5369551454384853,0.0,1.0,0.0,1,False
2017-06-19,69.27815000000001,40,17.040472118700382,2.6943352149844175,0.0,1.0,0.0,1,False
2017-06-20,66.79337931034483,29,12.66065685052318,2.3510249554015106,0.0,0.8620689655172413,0.13793103448275862,2,True
2017-06-22,73.75455555555556,27,13.47776996885365,2.593798039864503,0.0,0.9629629629629629,0.037037037037037035,2,True
2017-06-23,68.09025,44,9.243598871588771,1.3935249622551145,0.0,0.9772727272727273,0.022727272727272728,2,True
