date,FC_mean,FC_n,FC_sd,FC_se
2022-02-26,0.08536814285714286,28,0.390493759324697,0.07379638397827555
2022-02-27,-0.5895314483870967,31,0.45005866363283414,0.08083292221154187
2022-02-28,-0.41286669444444446,36,0.59099626441608,0.09849937740268
2022-03-01,-0.38129629032258067,31,0.6831304392658937,0.12269384886803425
2022-03-02,-0.45656912903225805,31,0.5497990954996647,0.09874683260126493
2022-03-03,-0.3683276071428571,28,0.7225085035917026,0.13654127290236162
2022-03-04,-1.252893888888889,27,0.7744393517479067,0.14904092273423106
2022-03-05,-0.47841686363636365,22,0.5323715583126306,0.11350199759960547
2022-03-06,-0.5983279142857143,35,0.5088614099507651,0.08601327713740821
2022-03-07,-0.03935226470588233,34,0.5819241245625563,0.09979916402277147
2022-03-08,0.1097590476190476,21,0.37427088883888315,0.08167260373917071
2022-03-09,-0.5301445769230769,26,0.9034677110773213,0.17718459571862574
2022-03-10,0.48526885185185187,27,0.4662379732425116,0.08972753978599653
2022-03-11,-0.8357479,20,0.4659837950293867,0.10419714420990372
2022-03-12,0.06239870588235295,17,0.8308751729690481,0.20151682940321936
2022-03-13,-0.2864978717948718,39,0.3823157153184139,0.06121950966460889
2022-03-14,-0.5500211071428571,28,0.63502518620004,0.12000847992484225
2022-03-15,0.7017382666666666,15,0.21739924052189152,0.05613224253462843
2022-03-16,0.690621,28,0.6146527923674561,0.11615845937540774
2022-03-17,-0.22239576923076923,39,0.4148745032613992,0.06643308826805046
2022-03-18,-0.34095221052631575,19,1.0548045780172626,0.2419887663558585
2022-03-19,0.7828631739130436,23,1.4314111962912572,0.29846986686940796
2022-03-20,0.17223308333333334,12,0.38127808391572543,0.1100655021924244
2022-03-21,-1.0153507037037037,27,0.48386234086493385,0.093119350916364
2022-03-24,-0.19360820689655173,29,0.3713970014794891,0.06896669178767677
2022-03-25,-0.221489625,8,0.5990526644380006,0.21179710065598978
2022-03-26,-0.8792825135135136,37,0.6870457797049391,0.11294963041591159
2022-03-27,-0.9177559000000001,40,0.6238350150911163,0.09863697659267204
2022-03-28,-0.2794094545454545,33,0.7643811663954088,0.13306168170279498
2022-03-29,-0.12733953548387097,31,0.454039629601245,0.08154792480665662
2022-03-30,-0.07224805,20,0.20567220935737704,0.04598970412056634
2022-03-31,-0.27445363333333334,30,0.4682805901236832,0.08549594748419073
2022-04-01,0.38985117857142854,28,0.26781729562549195,0.05061271150192274
2022-04-02,-0.378304,32,0.38827968016217207,0.06863879870990391
2022-04-03,-0.69306268,25,0.7345195191744806,0.1469039038348961
2022-04-04,-0.23503858333333336,24,0.799135298177589,0.16312280966516507
2022-04-05,-0.7449409428571429,14,0.46576059919053114,0.12447975617353628
2022-04-06,0.16536455555555557,9,0.8411264411893004,0.28037548039643345
2022-04-08,0.24585767441860465,43,0.379916535403108,0.05793672849469036
2022-04-09,0.48845742857142854,21,1.1032525620791265,0.2407494464943602
2022-04-10,0.3496134444444444,9,0.4700281583557285,0.15667605278524283
2022-04-11,0.11997377777777778,18,0.6048926103325192,0.14257455555191875
2022-04-14,-0.379944,12,0.6434826418954339,0.18575743825859017
2022-04-15,-1.29030425,8,0.7471145769789932,0.26414489185258244
2022-04-16,-0.9549681481481481,27,1.0181514940373637,0.1959433463860972
2022-04-17,-0.7709523333333332,18,1.0904413517672018,0.2570194914402713
2022-04-18,-0.7778289999999999,17,0.5770687940845961,0.13995974066227043
2022-04-19,-1.2735254444444446,27,1.04508519826793,0.20112674018202759
2022-04-20,-0.16856400000000002,25,0.8099828192488612,0.16199656384977223
2022-04-21,-0.5428746727272727,22,1.1867736043884514,0.25302098260754763
2022-04-22,-1.1178535333333335,15,0.7635524731235726,0.1971484008242055
2022-04-23,-0.29541725,8,1.835245862494548,0.6488573972572245
2022-04-25,-1.2095699393939394,33,0.6896316479401313,0.12004946074628312
2022-04-26,-1.2684380909090909,33,0.8391762833922831,0.14608184034654306
2022-04-27,-1.5615595185185185,27,0.9999589597824029,0.19244219153631614
2022-04-28,-0.9762604444444444,36,1.1093038496279788,0.18488397493799646
2022-04-29,-1.3839992083333332,24,1.8418456531576048,0.3759651695999447
2022-04-30,-0.226714,14,1.5940124230260035,0.4260177398017625
2022-05-01,-2.0003102142857143,14,1.5430623294712058,0.41240075452275304
2022-05-02,-1.9355628333333332,18,1.388941309766342,0.3273766062686352
2022-05-03,-1.0347347037037036,27,1.1095177269620282,0.21352678611072956
2022-05-04,-0.69858585,20,0.5513361610607334,0.12328251345855723
