month,fco2_mean,fco2_days,fco2_sd_across_days,fco2_halfhours,fco2_se_across_days
2019-06,-2.8215738055925415,23,1.2273436574185166,408,0.2559188435732891
2019-07,-2.4897602877001863,25,1.1822191595746256,481,0.23644383191492513
2019-08,-2.17654129805571,25,0.8470104484083407,465,0.16940208968166814
2019-09,-1.5368560748452196,22,1.1793579172887834,430,0.25143995280562936
2019-10,-0.7896748964623799,19,0.7375716411661724,525,0.16921053934025207
2019-11,-0.5368258847391735,21,0.38298365767927783,635,0.08357388577363553
2019-12,-0.3775028143210087,17,0.29190445412455973,413,0.07079722923198968
2020-01,-0.49254919408799275,18,0.36369260394609204,460,0.08572316883922501
2020-02,-0.3533938873833827,24,0.24185040415825573,588,0.04936750702280113
2020-03,-0.33522764885427625,24,0.2264980520841013,580,0.046233721278364684
2020-04,-0.7395265733326112,28,0.2431860150786267,786,0.04595783701620356
2020-05,-1.1515769136650895,23,0.5188014165219306,675,0.10817757337805074
2020-06,-1.6771229444189608,19,0.9348906493668305,380,0.21447862441321744
2020-07,-2.5004550928134814,25,0.9120778607350756,491,0.18241557214701512
2020-08,-2.6036798469268403,27,1.499140642010697,544,0.2885097510726614
2020-09,-2.3764286370972445,18,1.1650297437669097,382,0.2746001440338693
2020-10,-0.20070603406095242,20,0.29849167199784427,540,0.06674476693047503
2020-11,-0.47647078982724,18,0.2523286034830793,378,0.059474422203405625
2020-12,-0.5251423924497993,21,0.24154589179226885,471,0.05270963490208022
2021-01,-0.5131980174639753,24,0.45341303356595625,377,0.09255254791366789
2021-02,-0.6767363570008936,19,0.4520380305455526,448,0.10370463651501136
2021-03,-0.6321682678626533,25,0.49247016150690703,643,0.0984940323013814
2021-04,-0.8437483588583651,23,0.3641314105801121,574,0.0759266477168882
2021-05,-1.3704812468420366,22,0.566982466359108,523,0.12088106798883261
2021-06,-2.2055275827997325,26,1.2101659174860664,502,0.23733306261332188
2021-07,-1.6802872985517454,30,1.2145280787329493,611,0.22174147514848225
2021-08,-1.5259501879264132,25,1.3467204850284438,541,0.26934409700568873
2021-09,-0.8815311067936917,20,1.3472243635137495,411,0.30124852577606315
2021-10,-0.44767880978861535,23,0.8932425862593193,517,0.18625395448468804
2021-11,-0.3308134502434038,21,0.3127124123024315,570,0.0682394428632444
2021-12,-0.31501002140085793,23,0.3958374366365528,496,0.08253781116212527
2022-01,-0.5521443932048681,26,0.4833423283069462,515,0.09479122937624958
2022-02,-0.37613920587852323,17,0.3736652342016752,370,0.09062713113145103
2022-03,-0.2523103064428472,29,0.503645488104483,777,0.09352461923490832
2022-04,-0.5573462300168114,26,0.6133504042326313,569,0.12028791076354653
2022-05,-1.760677521539355,29,1.0412281390006217,642,0.19335121139118283
2022-06,-3.502036842075886,28,1.4688602624847669,695,0.27758849751712505
2022-07,-4.067069913862208,30,1.8831937326326058,739,0.3438225625050769
2022-08,-4.220606499518834,25,1.8905453659216418,540,0.37810907318432835
2022-09,-3.3000741048033766,24,1.5393625726314482,490,0.3142210693404215
2022-10,-1.1164934343783106,26,0.7229638413826083,603,0.14178487441661225
2022-11,-0.382387482439401,23,0.7679377211244425,447,0.16012608395258843
2022-12,-0.5089823512023135,23,0.3339693978687845,553,0.06963743330960367
2023-01,-0.22520258913586919,27,0.32046471249731673,553,0.06167346267536728
2023-02,-0.1950748033255293,25,0.3952885510138235,617,0.0790577102027647
2023-03,-0.38961070505610546,25,0.4677351329266868,566,0.09354702658533735
2023-04,-0.32834092860487474,26,0.7446866538201811,614,0.14604506843620071
2023-05,-1.875765980053997,28,0.9784892491767058,603,0.18491708670513402
2023-06,-3.336496236392896,29,1.519649778122356,731,0.2821918794591127
2023-07,-4.586396507475281,31,1.108622946491687,725,0.19911455913845258
2023-08,-2.6767292134999154,31,1.5822981049110676,729,0.2841891290289459
2023-09,-0.9467870167602547,26,1.1741711520450206,558,0.2302739083298185
2023-10,-0.9254092557383232,24,0.8334896904645231,556,0.17013537062569797
2023-11,-0.07280530587024464,27,0.28396346044512916,664,0.054648793442670984
2023-12,-0.06488497951713897,20,0.26118279416822454,391,0.05840224823134857
2024-01,-0.1489580946163201,26,0.18374430430923158,540,0.03603522281478087
2024-02,-0.45691095180939584,27,0.2665133038532746,711,0.0512905092407682
2024-03,-0.5807589716471863,28,0.40545710104736954,751,0.07662418976260901
2024-04,-0.5350034961718633,25,0.4791672926282489,620,0.09583345852564978
2024-05,-1.1079546990433526,29,0.6662310802349858,633,0.12371600574829826
2024-06,-2.2825103327079095,28,0.923959857040567,682,0.1746120002240094
2024-07,-3.7409540612773338,31,1.2136932612294773,626,0.2179857447509817
2024-08,-3.2573273830412597,21,1.7555555756363177,415,0.38309363390739043
2024-09,-2.6743389096103147,29,1.6536999932045728,490,0.3070843794815115
2024-10,-0.9104834940053624,28,0.8998299507954325,603,0.17005187657515725
2024-11,-0.32003916656585923,22,0.45666491400100945,480,0.09736128679948844
2024-12,-0.32299574299076084,23,0.43093167180041353,453,0.08985546504409889
